Year,Month,Scen,Inflow,Month-Year
2034,10,CNRM-CM5,0.169151182,2034-10
2034,10,HadGEM2-ES,0.062290601,2034-10
2034,10,MIROC5,0.092535094,2034-10
2034,11,CanESM2,0.260267554,2034-11
2034,11,CNRM-CM5,0.833181389,2034-11
2034,11,HadGEM2-ES,0.186883157,2034-11
2034,11,MIROC5,2.008545998,2034-11
2034,12,CanESM2,0.239484342,2034-12
2034,12,CNRM-CM5,3.339199837,2034-12
2034,12,HadGEM2-ES,0.441581416,2034-12
2034,12,MIROC5,0.38071815,2034-12
2034,2,CanESM2,1.489837041,2034-2
2034,2,CNRM-CM5,2.431909879,2034-2
2034,2,HadGEM2-ES,0.500471863,2034-2
2034,2,MIROC5,0.45080627,2034-2
2034,3,CanESM2,2.313620485,2034-3
2034,3,CNRM-CM5,5.479351178,2034-3
2034,3,HadGEM2-ES,0.466570437,2034-3
2034,3,MIROC5,2.661833993,2034-3
2034,4,CanESM2,6.575601634,2034-4
2034,4,CNRM-CM5,7.558666658,2034-4
2034,4,HadGEM2-ES,0.302656428,2034-4
2034,4,MIROC5,3.862250824,2034-4
2034,5,CanESM2,6.659871291,2034-5
2034,5,CNRM-CM5,15.36957633,2034-5
2034,5,HadGEM2-ES,0.466553314,2034-5
2034,5,MIROC5,7.531903399,2034-5
2034,6,CanESM2,4.5690408,2034-6
2034,6,CNRM-CM5,2.517303388,2034-6
2034,6,HadGEM2-ES,0.138656972,2034-6
2034,6,MIROC5,2.171441529,2034-6
2034,7,CanESM2,0.855231297,2034-7
2034,7,CNRM-CM5,1.763211734,2034-7
2034,7,HadGEM2-ES,0.1101458,2034-7
2034,7,MIROC5,0.278711447,2034-7
2034,8,CanESM2,0.102834232,2034-8
2034,8,CNRM-CM5,0.38656921,2034-8
2034,8,HadGEM2-ES,0.140796755,2034-8
2034,8,MIROC5,0.074157651,2034-8
2034,9,CanESM2,0.072846942,2034-9
2034,9,CNRM-CM5,0.335298468,2034-9
2034,9,HadGEM2-ES,0.059766054,2034-9
2034,9,MIROC5,0.057929481,2034-9
2035,1,CanESM2,0.747764699,2035-1
2035,1,CNRM-CM5,15.3066132,2035-1
2035,1,HadGEM2-ES,1.196056564,2035-1
2035,1,MIROC5,0.212761689,2035-1
2035,10,CanESM2,0.231137693,2035-10
2035,10,CNRM-CM5,0.447808423,2035-10
2035,10,HadGEM2-ES,0.06372435,2035-10
2035,10,MIROC5,0.289376498,2035-10
2035,11,CanESM2,0.607454828,2035-11
2035,11,CNRM-CM5,1.841169667,2035-11
2035,11,HadGEM2-ES,0.159624516,2035-11
2035,11,MIROC5,0.936805448,2035-11
2035,12,CanESM2,0.746991914,2035-12
2035,12,CNRM-CM5,6.046214671,2035-12
